

[Continue Epoch 4 | Step 900] Loss: 0.9757
[Continue Epoch 4 | Step 950] Loss: 1.0316
[Continue Epoch 4 | Step 1000] Loss: 0.9715
[Continue Epoch 4 | Step 1050] Loss: 1.0202
[Continue Epoch 4 | Step 1100] Loss: 1.1385
[Continue Epoch 4 | Step 1150] Loss: 1.0552
[Continue Epoch 4 | Step 1200] Loss: 1.0230
[Continue Epoch 4 | Step 1250] Loss: 1.0196
[Continue Epoch 4 | Step 1300] Loss: 1.0104
[Continue Epoch 4 | Step 1350] Loss: 0.9057
[Continue Epoch 4 | Step 1400] Loss: 0.9575
[Continue Epoch 4 | Step 1450] Loss: 1.0042
[Continue Epoch 4 | Step 1500] Loss: 0.9436
[Continue Epoch 4 | Step 1550] Loss: 0.9461
[Continue Epoch 4 | Step 1600] Loss: 1.1095
[Continue Epoch 4 | Step 1650] Loss: 0.9907
[Continue Epoch 4 | Step 1700] Loss: 1.0545
[Continue Epoch 4 | Step 1750] Loss: 1.0326
[Continue Epoch 4 | Step 1800] Loss: 1.0215
[Continue Epoch 4 | Step 1850] Loss: 0.8956
[Continue Epoch 4 | Step 1900] Loss: 1.0012
[Continue Epoch 4 | Step 1950] Loss: 1.0615
[Continue Epoch 4 | Step 2000] Loss: 1.0430
[Continue Epoch 4 | Step 2050] Loss: 0.9792
[Continue Epoch 4 | Step 2100] Loss: 1.0510
[Continue Epoch 4 | Step 2150] Loss: 1.0970
[Continue Epoch 4 | Step 2200] Loss: 0.9143
[Continue Epoch 4 | Step 2250] Loss: 0.9579
[Continue Epoch 4 | Step 2300] Loss: 1.0739
[Continue Epoch 4 | Step 2350] Loss: 1.0583
[Continue Epoch 4 | Step 2400] Loss: 0.9090
[Continue Epoch 4 | Step 2450] Loss: 0.9525
[Continue Epoch 4 | Step 2500] Loss: 1.0488
[Continue Epoch 4 | Step 2550] Loss: 0.9773
[Continue Epoch 4 | Step 2600] Loss: 1.0525
[Continue Epoch 4 | Step 2650] Loss: 1.1425
[Continue Epoch 4 | Step 2700] Loss: 1.0341
[Continue Epoch 4 | Step 2750] Loss: 1.0081
[Continue Epoch 4 | Step 2800] Loss: 0.9691
[Continue Epoch 4 | Step 2850] Loss: 1.0154
[Continue Epoch 4 | Step 2900] Loss: 0.9374
[Continue Epoch 4 | Step 2950] Loss: 0.9246
[Continue Epoch 4 | Step 3000] Loss: 0.9714
[Continue Epoch 4 | Step 3050] Loss: 1.1111
[Continue Epoch 4 | Step 3100] Loss: 1.0137
[Continue Epoch 4 | Step 3150] Loss: 1.1783
[Continue Epoch 4 | Step 3200] Loss: 1.1137
[Continue Epoch 4 | Step 3250] Loss: 1.0569
[Continue Epoch 4 | Step 3300] Loss: 0.8488
[Continue Epoch 4 | Step 3350] Loss: 1.0861
[Continue Epoch 4 | Step 3400] Loss: 0.9454
[Continue Epoch 4 | Step 3450] Loss: 0.9729
[Continue Epoch 4 | Step 3500] Loss: 1.0041
[Continue Epoch 4 | Step 3550] Loss: 1.0643
[Continue Epoch 4 | Step 3600] Loss: 1.0394
[Continue Epoch 4 | Step 3650] Loss: 1.2135
[Continue Epoch 4 | Step 3700] Loss: 1.0297
[Continue Epoch 4 | Step 3750] Loss: 0.9653
[Continue Epoch 4 | Step 3800] Loss: 1.0765
[Continue Epoch 4 | Step 3850] Loss: 1.0825
[Continue Epoch 4 | Step 3900] Loss: 1.0975
[Continue Epoch 4 | Step 3950] Loss: 1.0695
[Continue Epoch 4 | Step 4000] Loss: 1.0589
[Continue Epoch 4 | Step 4050] Loss: 0.9681
